date,in_hosp
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,2
2020-03-12,3
2020-03-13,4
2020-03-14,4
2020-03-15,6
2020-03-16,19
2020-03-17,49
2020-03-18,50
2020-03-19,55
2020-03-20,66
2020-03-21,79
2020-03-22,97
2020-03-23,117
2020-03-24,135
2020-03-25,174
2020-03-26,205
2020-03-27,237
2020-03-28,271
2020-03-29,282
2020-03-30,294
2020-03-31,322
2020-04-01,345
2020-04-02,351
2020-04-03,375
2020-04-04,365
2020-04-05,370
2020-04-06,394
2020-04-07,412
2020-04-08,422
2020-04-09,416
2020-04-10,406
2020-04-11,406
2020-04-12,402
2020-04-13,395
2020-04-14,386
2020-04-15,371
2020-04-16,363
2020-04-17,355
2020-04-18,339
2020-04-19,345
2020-04-20,348
2020-04-21,365
2020-04-22,342
2020-04-23,335
2020-04-24,329
2020-04-25,314
2020-04-26,309
2020-04-27,309
2020-04-28,305
2020-04-29,286
2020-04-30,273
2020-05-01,244
2020-05-02,233
2020-05-03,232
2020-05-04,236
2020-05-05,223
2020-05-06,209
2020-05-07,191
2020-05-08,185
2020-05-09,173
2020-05-10,167
2020-05-11,167
2020-05-12,157
2020-05-13,146
2020-05-14,128
2020-05-15,118
2020-05-16,112
2020-05-17,110
2020-05-18,115
2020-05-19,109
2020-05-20,101
2020-05-21,101
2020-05-22,98
2020-05-23,93
2020-05-24,94
2020-05-25,91
2020-05-26,92
2020-05-27,86
2020-05-28,73
2020-05-29,71
2020-05-30,72
2020-05-31,70
2020-06-01,73
2020-06-02,75
2020-06-03,65
2020-06-04,60
2020-06-05,60
2020-06-06,59
2020-06-07,61
2020-06-08,60
2020-06-09,63
2020-06-10,66
2020-06-11,65
2020-06-12,69
2020-06-13,67
2020-06-14,68
2020-06-15,77
2020-06-16,78
2020-06-17,84
2020-06-18,83
2020-06-19,82
2020-06-20,80
2020-06-21,74
2020-06-22,75
2020-06-23,76
2020-06-24,78
2020-06-25,67
2020-06-26,64
2020-06-27,61
2020-06-28,66
2020-06-29,69
2020-06-30,71
2020-07-01,75
2020-07-02,72
2020-07-03,71
2020-07-04,70
2020-07-05,73
2020-07-06,69
2020-07-07,77
2020-07-08,85
2020-07-09,73
2020-07-10,69
2020-07-11,64
2020-07-12,65
2020-07-13,71
2020-07-14,71
2020-07-15,80
2020-07-16,76
2020-07-17,74
2020-07-18,74
2020-07-19,74
2020-07-20,71
2020-07-21,78
2020-07-22,92
2020-07-23,91
2020-07-24,94
2020-07-25,92
2020-07-26,91
2020-07-27,109
2020-07-28,114
2020-07-29,116
2020-07-30,117
2020-07-31,114
2020-08-01,116
2020-08-02,109
2020-08-03,113
2020-08-04,115
2020-08-05,110
2020-08-06,105
2020-08-07,106
2020-08-08,104
2020-08-09,107
2020-08-10,113
2020-08-11,110
2020-08-12,101
2020-08-13,106
2020-08-14,113
2020-08-15,103
2020-08-16,101
2020-08-17,113
2020-08-18,103
2020-08-19,108
2020-08-20,116
2020-08-21,119
2020-08-22,124
2020-08-23,128
2020-08-24,129
2020-08-25,131
2020-08-26,136
2020-08-27,147
2020-08-28,155
2020-08-29,153
2020-08-30,153
2020-08-31,170
2020-09-01,177
2020-09-02,179
2020-09-03,194
2020-09-04,198
2020-09-05,208
2020-09-06,219
2020-09-07,255
2020-09-08,252
2020-09-09,265
2020-09-10,272
2020-09-11,307
2020-09-12,283
2020-09-13,305
2020-09-14,339
2020-09-15,369
2020-09-16,399
2020-09-17,493
2020-09-18,525
2020-09-19,508
2020-09-20,532
2020-09-21,612
2020-09-22,637
2020-09-23,709
2020-09-24,768
2020-09-25,825
2020-09-26,797
2020-09-27,823
2020-09-28,845
2020-09-29,998
2020-09-30,1061
2020-10-01,1163
2020-10-02,1238
2020-10-03,1207
2020-10-04,1279
2020-10-05,1486
2020-10-06,1632
2020-10-07,1783
2020-10-08,1953
2020-10-09,2146
2020-10-10,2166
2020-10-11,2218
2020-10-12,2577
2020-10-13,2690
